DATE,Median_Sale_Price_House,Personal_Income_Per_Capita,Property_Tax,Nasdaqcom,Construction_Employment_Cost,Population,New_House_Units_Construction,CPI,Mortage_Rate,Unemployment_Rate,Household_Debt_Payment,Recession_Rate,S&PCase_Schiller_Index
2017-07-01,320500,51193,9257,6343.13015873016,128.3,327140.333333333,1083.66666666667,2.11443266666667,3.88384615384615,4.33333333333333,10.032426,0.11,192.625333333333
2017-10-01,337900,51864,9371,6758.38111111111,128.8,327691.666666667,1102.66666666667,2.14444066666667,3.92230769230769,4.16666666666667,10.031221,0.05,195.977
2018-01-01,331800,52439,9486,7253.84852459016,129.7,328091,1111.66666666667,2.222466,4.28230769230769,4.03333333333333,9.973965,0.14,199.171
2018-04-01,315600,52986,9604,7355.938859375,131.1,328525.666666667,1127,2.53054433333333,4.54461538461538,3.93333333333333,9.921463,0.12,201.438666666667
2018-07-01,330900,53636,9723,7874.57636507937,131.8,329039.666666667,1130.33333333333,2.47148166666667,4.56692307692308,3.76666666666667,9.901602,0.13,203.650333333333
2018-10-01,322800,54177,9844,7215.11458730159,132.4,329521.666666667,1144.33333333333,2.45205066666667,4.78461538461538,3.83333333333333,9.926322,0.27,205.645666666667
2019-01-01,313000,55007,9966,7343.62145901639,133.4,329868.333333333,1139,2.38728833333333,4.37384615384615,3.86666666666667,9.899201,0.82,206.822333333333
2019-04-01,322500,55363,10082,7876.666359375,134.7,330245.333333333,1132.33333333333,2.40896933333333,4.01076923076923,3.63333333333333,9.946223,0.45,208.099333333333
2019-07-01,318400,55662,10191,8067.463734375,136.4,330728.666666667,1152,2.56562033333333,3.65846153846154,3.63333333333333,9.969795,0.37,210.094666666667
2019-10-01,327100,56122,10293,8445.708765625,137,331208,1167.33333333333,2.74930633333333,3.7,3.6,9.9723,0.81,212.837
2020-01-01,329000,56630,10388,8771.72940322581,137.6,331534,1207.66666666667,2.75246066666667,3.52153846153846,3.8,9.902349,33.42,215.753333333333
2020-04-01,322600,60847,10480,9091.00058730159,139.1,331699,1185.33333333333,2.122902,3.23923076923077,12.9666666666667,8.930765,33.38,217.136
2020-07-01,337500,59793,10570,10926.833625,139.7,331871.666666667,1210.66666666667,2.23840866666667,2.95230769230769,8.83333333333333,9.192742,0.03,222.535333333333
2020-10-01,358700,59374,10657,11954.4295489531,140.3,332045,1246,1.78578166666667,2.76071428571429,6.76666666666667,9.369741,0.08,233.149
2021-01-01,369800,66756,10741,13351.4563934426,141.3,331989,1292,1.58366833333333,2.87583333333333,6.2,8.311256,0,242.464666666667
2021-04-01,382600,63363,10854,13847.6280952381,143.3,332149.333333333,1343.33333333333,2.491358,3.00384615384615,5.93333333333333,9.12909,0.13,253.611666666667
2021-07-01,411200,63578,10994,14839.97234375,143.9,332480.333333333,1412,2.43230366666667,2.87214285714286,5.13333333333333,9.360903,0.17,266.680666666667
2021-10-01,423600,63957,11163,15390.78671875,145.2,332786,1494.33333333333,3.244694,3.07923076923077,4.2,9.490993,0.11,277.425666666667
2022-01-01,433100,64300,11361,14000.6198387097,146.1,332977.666666667,1588.33333333333,4.28471733333333,3.82230769230769,3.8,9.724234,0.13,291.174
2022-04-01,449300,64982,11533,12195.24,149,333320.333333333,1679,5.04324066666667,5.26615384615385,3.6,9.785051,0.33,303.019666666667
2022-07-01,468000,65964,11680,11891.06984375,150.2,333799.666666667,1694.33333333333,6.00327633333333,5.62307692307692,3.56666666666667,9.82833,0.09,301.568333333333
2022-10-01,479500,66633,11802,10871.376031746,151.4,334282.666666667,1700.33333333333,6.48440333333333,6.66461538461538,3.6,9.891317,1.11,298.185
2023-01-01,429000,67666,11905,11481.4411290323,153.3,334641,1687,6.53331693033333,6.37230769230769,3.5,9.713434,0.15,297.734666666667
2023-04-01,418500,68259,11982,12676.7551612903,155.1,335018.666666667,1686.33333333333,5.983294328,6.51076923076923,3.56666666666667,9.694271,0.22,302.457333333333
2023-07-01,431000,68811,12095,13828.736440678,156.3,335501.666666667,1690,5.22740475366667,7.04,3.7,9.77531,0.2,309.032333333333
,,,,,,.,.,.,7.42454545454546,.,,,
