DATE,Median_Sale_Price_House,Personal_Income_Per_Capita,Property_Tax,Nasdaqcom,Construction_Employment_Cost,Population,New_House_Units_Construction,CPI,Mortage_Rate,Unemployment_Rate,Household_Debt_Payment,Recession_Rate,S&PCase_Schiller_Index
2010-10-01,224300.0,41141.0,7626.0,2536.13,112.7,310817.333333333,431.333333333333,0.779456523333333,4.43615384615385,9.5,10.990559,0.06,142.254666666667
2012-07-01,248800.0,43843.0,7427.0,3026.55523809524,116.0,315030.333333333,498.666666666667,2.21781826666667,3.55384615384615,8.03333333333333,10.21942,0.22,142.285333333333
2016-04-01,306000.0,48682.0,8782.0,4845.7121875,124.6,324265.666666667,1008,2.5593518,3.58923076923077,4.93333333333333,10.105045,0.19,179.426333333333
2011-07-01,223500.0,42842.0,7416.0,2606.6359375,113.9,312606.333333333,416,1.60247236666667,4.29153846153846,9,10.589658,0.05,139.235666666667
2016-07-01,303800.0,49059.0,8871.0,5168.8890625,124.9,324925.333333333,1036.33333333333,2.64358693333333,3.44615384615385,4.9,10.163226,0.06,181.836
2015-04-01,289100.0,47963.0,8423.0,5030.16714285714,121.6,321744,880.666666666667,2.08158103333333,3.81923076923077,5.43333333333333,10.035315,0.71,170.882666666667
2023-04-01,418500.0,68259.0,11982.0,12676.7551612903,155.1,335018.666666667,1686.33333333333,5.983294328,6.51076923076923,3.56666666666667,9.694271,0.22,302.457333333333
2019-01-01,313000.0,55007.0,9966.0,7343.62145901639,133.4,329868.333333333,1139,2.38728833333333,4.37384615384615,3.86666666666667,9.899201,0.82,206.822333333333
2010-04-01,219500.0,40428.0,7703.0,2342.0626984127,112.3,309488.333333333,470.333333333333,0.820244103333333,4.92230769230769,9.63333333333333,11.329983,0.09,146.172666666667
2014-07-01,281000.0,46540.0,8111.0,4482.7428125,120.1,319918.333333333,793.333333333333,2.00578686666667,4.13538461538462,6.06666666666667,10.022488,0.05,165.232333333333
2012-01-01,238400.0,43721.0,7374.0,2907.18806451613,114.6,313813.333333333,449.666666666667,2.08629246666667,3.92230769230769,8.26666666666667,10.2622,0.19,137.014666666667
2020-10-01,358700.0,59374.0,10657.0,11954.4295489531,140.3,332045,1246,1.78578166666667,2.76071428571429,6.76666666666667,9.369741,0.08,233.149
2014-04-01,288000.0,46022.0,8013.0,4195.80634920635,119.1,319227.666666667,756,2.0989122,4.22769230769231,6.2,10.045591,0.01,163.705
2008-01-01,233900.0,40426.0,6954.0,2334.30885245902,108.9,303493.666666667,1026.66666666667,2.68412403333333,5.87230769230769,5,13.191498,43.11,171.575333333333
2022-07-01,468000.0,65964.0,11680.0,11891.06984375,150.2,333799.666666667,1694.33333333333,6.00327633333333,5.62307692307692,3.56666666666667,9.82833,0.09,301.568333333333
2014-10-01,298900.0,47085.0,8214.0,4600.93859375,120.7,320611.333333333,815.333333333333,1.99383676666667,3.96357142857143,5.7,9.98406,0.1,167.342333333333
2015-10-01,302500.0,48375.0,8610.0,4998.138125,123.4,323110.666666667,958.333333333333,2.3983863,3.89785714285714,5.03333333333333,10.038918,0.93,175.691333333333
2020-04-01,322600.0,60847.0,10480.0,9091.00058730159,139.1,331699,1185.33333333333,2.122902,3.23923076923077,12.9666666666667,8.930765,33.38,217.136
2009-04-01,220900.0,39357.0,7465.0,1733.00619047619,111.2,306866,651.333333333333,2.2516231,5.01230769230769,9.3,12.37661,84.83,147.911
2007-04-01,242200.0,39504.0,6930.0,2553.36158730159,105.9,301283.666666667,1168.66666666667,2.7935353,6.35846153846154,4.5,13.049631,0.21,181.621333333333
2000-04-01,163200.0,30318.0,4821.0,3747.21857142857,84.4,282002,985.333333333333,2.57123876666667,8.31615384615385,3.93333333333333,11.726934,0.29,103.674666666667
2013-01-01,258400.0,43976.0,7572.0,3176.37616666667,117.0,316195.333333333,578.666666666667,2.10473886666667,3.49692307692308,7.73333333333333,10.264377,0.03,148.191666666667
2005-04-01,233700.0,35381.0,6135.0,2013.20765625,98.5,295588.333333333,1325,2.26567756666667,5.70846153846154,5.1,12.623158,0.05,169.347333333333
2000-07-01,168800.0,30809.0,4803.0,3933.18841269841,84.7,282768.666666667,975,2.8393939,8.02,4,11.882996,0.93,105.786666666667
2005-10-01,243600.0,36393.0,6390.0,2178.6719047619,100.0,297085.666666667,1392,2.40866723333333,6.22615384615385,4.96666666666667,12.690412,0.03,179.539333333333
2021-10-01,423600.0,63957.0,11163.0,15390.78671875,145.2,332786,1494.33333333333,3.244694,3.07923076923077,4.2,9.490993,0.11,277.425666666667
2018-07-01,330900.0,53636.0,9723.0,7874.57636507937,131.8,329039.666666667,1130.33333333333,2.47148166666667,4.56692307692308,3.76666666666667,9.901602,0.13,203.650333333333
2021-07-01,411200.0,63578.0,10994.0,14839.97234375,143.9,332480.333333333,1412,2.43230366666667,2.87214285714286,5.13333333333333,9.360903,0.17,266.680666666667
2020-07-01,337500.0,59793.0,10570.0,10926.833625,139.7,331871.666666667,1210.66666666667,2.23840866666667,2.95230769230769,8.83333333333333,9.192742,0.03,222.535333333333
2005-01-01,232500.0,34895.0,5982.0,2055.01557377049,97.4,294957.333333333,1311.66666666667,2.2827626,5.76846153846154,5.3,12.621354,0.07,163.481333333333
2015-01-01,289200.0,47595.0,8321.0,4825.26442622951,120.7,321168.333333333,834.333333333333,1.988929,3.71666666666667,5.53333333333333,10.003731,1.01,169.188
2017-10-01,337900.0,51864.0,9371.0,6758.38111111111,128.8,327691.666666667,1102.66666666667,2.14444066666667,3.92230769230769,4.16666666666667,10.031221,0.05,195.977
2003-07-01,191900.0,32778.0,5828.0,1765.19890625,93.0,290974,1100.33333333333,2.1956631,6.03384615384615,6.13333333333333,12.144342,0.07,135.013333333333
2023-01-01,429000.0,67666.0,11905.0,11481.4411290323,153.3,334641,1687,6.53331693033333,6.37230769230769,3.5,9.713434,0.15,297.734666666667
2012-10-01,251700.0,45257.0,7490.0,3001.65580645161,116.3,315684.666666667,535,2.1709293,3.35923076923077,7.8,9.894968,0.02,144.562666666667
